,city
1290,    Clermont-Ferrand 
1291,    Saint-Étienne 
1292,    Grenoble 
1293,    Orcières 
1294,    Albi 
1295,    Revel 
1296,    Luchon 
1297,    Luchon 
1298,    Gourette 
1299,    Mont-de-Marsan 
1300,    Bordeaux 
1301,    Blois 
1302,    Versailles 
1303,    Mulhouse 
1304,    Mulhouse 
1305,    Mulhouse 
1306,    Limoges 
1307,    Limoges 
1308,    La Rochelle 
1309,    Angers 
1310,    Angers 
1311,    Rennes 
1312,    Lisieux 
1313,    Rouen 
1314,    Amiens 
1315,    Valenciennes 
1316,    Vorst 
1317,    Ciney 
1318,    Saarlouis 
1319,    Belfort 
1320,    Divonne-les-Bains 
1321,    Divonne-les-Bains 
