,Date
1317,1970-04-07
1318,1970-05-07
1319,1970-06-07
1320,1970-07-07
1321,1970-07-07
1322,1970-08-07
1323,1970-09-07
1324,1970-10-07
1325,1970-11-07
1326,1970-12-07
1327,1970-07-13
1328,1970-07-14
1329,1970-07-15
1330,1970-07-16
1331,1970-07-16
1332,1970-07-17
1333,1970-07-18
1334,1970-07-19
1335,1970-07-19
1336,1970-07-19
1337,1970-07-19
1338,1969-06-28
1339,1969-06-29
1340,1969-06-29
1341,1969-06-30
1342,1969-01-07
1343,1969-02-07
1344,1969-03-07
1345,1969-04-07
1346,1969-05-07
1347,1969-06-07
1348,1969-06-07
1349,1969-07-07
1350,1969-08-07
1351,1969-09-07
1352,1969-10-07
1353,1969-11-07
1354,1969-12-07
1355,1969-07-13
1356,1969-07-14
1357,1969-07-15
1358,1969-07-16
1359,1969-07-17
1360,1969-07-18
1361,1969-07-19
1362,1969-07-20
1363,1969-07-20
1364,1969-07-20
1365,1969-07-20
1366,1969-07-20
1367,1968-06-27
1368,1968-06-28
1369,1968-06-29
1370,1968-06-30
1371,1968-06-30
1372,1968-01-07
1373,1968-02-07
1374,1968-02-07
1375,1968-03-07
1376,1968-04-07
1377,1968-05-07
1378,1968-07-07
1379,1968-08-07
1380,1968-09-07
1381,1968-10-07
1382,1968-11-07
1383,1968-12-07
1384,1968-07-14
1385,1968-07-15
1386,1968-07-16
1387,1968-07-17
1388,1968-07-18
1389,1968-07-19
1390,1968-07-20
1391,1968-07-21
1392,1968-07-21
1393,1968-07-21
1394,1968-07-21
1395,1968-07-21
1396,1967-06-29
1397,1967-06-30
1398,1967-01-07
1399,1967-02-07
1400,1967-03-07
1401,1967-04-07
1402,1967-04-07
1403,1967-05-07
1404,1967-06-07
1405,1967-07-07
1406,1967-09-07
1407,1967-10-07
1408,1967-11-07
1409,1967-12-07
1410,1967-07-13
1411,1967-07-14
1412,1967-07-16
1413,1967-07-17
1414,1967-07-18
1415,1967-07-19
1416,1967-07-20
1417,1967-07-21
1418,1967-07-22
1419,1967-07-23
1420,1967-07-23
1421,1967-07-23
1422,1967-07-23
1423,1967-07-23
1424,1966-06-21
1425,1966-06-22
1426,1966-06-23
1427,1966-06-23
1428,1966-06-24
1429,1966-06-25
1430,1966-06-26
1431,1966-06-27
1432,1966-06-28
1433,1966-06-29
1434,1966-06-30
1435,1966-01-07
1436,1966-03-07
1437,1966-04-07
1438,1966-05-07
1439,1966-05-07
1440,1966-06-07
1441,1966-07-07
1442,1966-08-07
1443,1966-10-07
1444,1966-11-07
1445,1966-12-07
1446,1966-07-13
1447,1966-07-14
1448,1966-07-14
1449,1966-07-14
1450,1966-07-14
1451,1966-07-14
1452,1965-06-22
1453,1965-06-22
1454,1965-06-23
1455,1965-06-24
1456,1965-06-25
1457,1965-06-26
1458,1965-06-26
1459,1965-06-27
1460,1965-06-28
1461,1965-06-29
1462,1965-06-30
1463,1965-01-07
1464,1965-02-07
1465,1965-04-07
1466,1965-05-07
1467,1965-06-07
1468,1965-07-07
1469,1965-08-07
1470,1965-09-07
1471,1965-10-07
1472,1965-11-07
1473,1965-12-07
1474,1965-07-13
